country_code,country,epi_score,epi_band,departures_country,departures_year,departures,outbound_expenditure_country,outbound_expenditure_year,outbound_expenditure,business_trips_country,business_trips_year,business_trips,personal_trips_country,personal_trips_year,personal_trips,business_personal_ratio_country,business_personal_ratio_year,business_personal_ratio,total_inbound_trips,expenditure_per_departure
HRV,Croatia,607.0,Very high,Croatia,2021.0,639000.0,Croatia,2021.0,1102000000.0,,,,,,,,,,,1724.5696400625977
NOR,Norway,610.0,Very high,Norway,2021.0,1860000.0,Norway,2021.0,3580000000.0,Norway,2011.0,1096000.0,Norway,2011.0,3867000.0,Norway,2011.0,0.28342384,4963000.0,1924.731182795699
NLD,Netherlands,636.0,Very high,Netherlands,2021.0,11601000.0,Netherlands,2021.0,9905401000.0,Netherlands,1999.0,2946000.0,Netherlands,1999.0,6928000.0,Netherlands,1999.0,0.42523095,9874000.0,853.8402723903112
AUT,Austria,600.0,Very high,Austria,2021.0,7522000.0,Austria,2021.0,7351000000.0,,,,,,,,,,,977.2666843924488
PRT,Portugal,605.0,Very high,Portugal,2021.0,1012000.0,Portugal,2021.0,4208999700.0,Portugal,2006.0,3555000.0,Portugal,2006.0,19033000.0,Portugal,2006.0,0.18678086,22588000.0,4159.090612648221
DNK,Denmark,603.0,Very high,Denmark,2021.0,3182000.0,Denmark,2021.0,7468000000.0,Denmark,2021.0,483000.0,Denmark,2021.0,17922000.0,Denmark,2021.0,0.026950117,18405000.0,2346.9516027655563
SWE,Sweden,608.0,Very high,Sweden,2021.0,5767000.0,Sweden,2021.0,8357000000.0,Sweden,2014.0,3191000.0,Sweden,2014.0,16754000.0,Sweden,2014.0,0.19046198,19945000.0,1449.1069880353737
GRC,Greece,602.0,Very high,Greece,2021.0,2026000.0,Greece,2021.0,1306000000.0,Greece,1995.0,964000.0,Greece,1995.0,9748000.0,Greece,1995.0,0.09889208,10712000.0,644.6199407699901
SGP,Singapore,609.0,Very high,Singapore,2021.0,833000.0,,,,Singapore,2019.0,2460500.0,Singapore,2019.0,16655500.0,Singapore,2019.0,0.14772898,19116000.0,
POL,Poland,588.0,High,Poland,2021.0,6813000.0,Poland,2021.0,5735000000.0,Poland,2021.0,2417000.0,Poland,2021.0,50507000.0,Poland,2021.0,0.04785475,52924000.0,841.7730808747982
SVK,Slovakia,584.0,High,,,,Slovakia,2021.0,1483000000.0,,,,,,,,,,,
HUN,Hungary,585.0,High,Hungary,2021.0,4358000.0,Hungary,2021.0,1445000000.0,Hungary,2021.0,2335400.0,Hungary,2021.0,34352100.0,Hungary,2021.0,0.0679842,36687500.0,331.5741165672327
FIN,Finland,590.0,High,Finland,2021.0,1810000.0,Finland,2021.0,1377000000.0,Finland,2012.0,1776000.0,Finland,2012.0,5860000.0,Finland,2012.0,0.30307168,7636000.0,760.7734806629834
ZAF,South Africa,594.0,High,,,,South Africa,2021.0,991000000.0,South Africa,2021.0,194100.0,South Africa,2021.0,2061600.1,South Africa,2021.0,0.09415017,2255700.1,
ROU,Romania,593.0,High,,,,Romania,2021.0,5210000000.0,Romania,1998.0,182000.0,Romania,1998.0,4649000.0,Romania,1998.0,0.039148204,4831000.0,
